#	NATION	SKILL	PLAYSTYLE	FORMATION	APPROACH	PASSING	CHANCES	DRIBBLING	CREATIVITY	SET PIECES	TIME WASTING	POS. LOST	POS. WON	GK PASSING	PRESSING	DEF. LINE	DL BEHAVIOR	TACKLING	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14	#15	#16
REI	Reino	86	Tiki-Taka	4-3-3	Play Out of Defence	Much Shorter	Work Ball Into Box	Be More Disciplined	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Much Higher	Much Higher	Offside Trap	Stay On Feet	X. Cienfuegos [*]	V. Peixoto [+]	I. Urrutia [+]	O. Montagut	R. Alvarenga	G. Valbuena	Y. Bengoetxea [+]	T. Candeias [*]	P. Puigcorbé [+]	M. Salcedo	B. Figueira	U. Izagirre	D. Quintana	J. Xirau	L. Escudero	N. Gouveia
ALE	Alemannia	86	Tiki-Taka	4-2-3-1	Pass Into Space	More Direct	Shoot On Sight	Run At Defence	Be More Disciplined	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	K. Bernhard [+]	F. Gruber	V. Novotný	J. Van Antwerp [*]	J. Dvořák	T. Svoboda [+]	G. Dreesens	O. Černý	S. Boelens [+]	P. Procházka	F. Van Can [*]	M. Noack	R. Pietach	S. Reier	E. Lehner	D. Kunze
ELV	Elvester	86	Wing Play	4-2-3-1	No Instruction	Shorter	Work Ball Into Box	Run At Defence	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Hold Shape	Short	Lower	Standard	Drop Off	Stay On Feet	J. Stanford [+]	O. Ashworth	H. Brown	W. Wetherby	C. Davies	T. Hargreaves [+]	G. Smith	A. Whitmore	M. Wright	L. Bardsley [*]	H. Caine [*]	R. Townsend	N. Hughes	S. Chadwick	D. Evans	F. Lancaster
NCH	Nichirin	86	Wing Play	4-4-2	No Instruction	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	Short	Higher	Standard	Drop Off	Stay On Feet	E. Sato	K. Fujise [+]	D. Takanashi [+]	G. Fija	A. Nagumo	T. Bashira [*]	T. Mikado	M. Kishima	L. Higashiyama [+]	G. Erdene [+]	S. Itoshi [*]	T. Aragaki	S. Segawa	K. Torigoe	N. Kanzaki	K. Mitsui
ESU	E.S.U.	85	Gegenpress	3-4-3	Play Out of Defence	Standard	No Instruction	Run At Defence	No Instruction	No Instruction	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	No Instruction	S. Jackson	N. Vitale	M. Smith	E. Farnsworth [+]	C. Bauer	V. Moretti [+]	R. De Luca [+]	A. Anderson	T. Hawthorne [*]	D. Rossi	L. Vogel [*]	P. Turner	P. Klein	F. Hoffman	W. Bradford	S. Caruso
VIC	Vicily	83	Counter	5-3-2	Play Out of Defence	Shorter	Work Ball Into Box	Be More Disciplined	Be More Disciplined	No Instruction	Constantly	Regroup	Hold Shape	Short	Standard	Standard	No Instruction	Stay On Feet	M. Rossi [+]	L. Squillaci [+]	A. Ferrari [+]	F. Castiglione [*]	G. Russo	D. Vivaldi	E. Bianchi	V. Zaccagni	S. Romano	R. Lucchese [*]	C. Colombo	P. Borromeo	T. Ricci	N. Donizetti	I. Esposito	U. Bellarmino
ARV	Arverne	82	Balanced	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	No Instruction	Lower	Standard	Drop Off	No Instruction	F. Beaulieu	E. Delacroix	L. Bernard	M. Vasseur [+]	H. Dubois	G. Chardon	O. Desjardins [*]	C. Lemaitre	T. Durand	A. Blanc [+]	R. Gauthier [+]	M. Martin	N. Richard	V. Tardieu	B. Roux	P. Petit
KAR	Karjania	82	Wing Play	4-3-3	Play Out of Defence	More Direct	Work Ball Into Box	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Regroup	Counter	Long	Higher	Lower	Drop Off	Get Stuck In	A. Väisänen [+]	S. Helkanen	K. Yrjölä	E. Uusitalo [+]	P. Seppälä	K. Kaljurand [*]	J. Soosaar	O. Rástoš	M. Heikinnen	R. Duoŋgi	V. Petrovic [+]	J. Hämäläinen	O. Niskanen	T. Saarela	H. Karlsson	T. Puusepp
HOL	Hollosend	81	Counter	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	No Instruction	Counter	Long	Higher	Standard	No Instruction	No Instruction	C. Calhoun	L. Urdaneta	T. Uzcátegui [*]	W. Boone	E. Escalona	D. Landry	M. Betancourt	H. Hollis [+]	V. Vivas	B. Covington [+]	S. Arismendi	R. Vance	G. Quintero	A. Pickett	J. Beauregard	F. Machado
ANA	Anahuac	81	Tiki-Taka	4-3-3	No Instruction	Shorter	Work Ball Into Box	Be More Disciplined	Be More Expressive	Play for Set Pieces	Sometimes	Counter-Press	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	R. Rosario	J. Salamanca	C. Montoya	E. Arenas [+]	J. Vera	E. Luna	O. Pérez [+]	Á. Fernandez	R. Zapatero [*]	A. Villa	S. Guzmán	C. Acosta	J. Valencia	L. Rivas	O. Vico	A. Garza
