ARV	Arverne	85	84.5	Tiki-Taka	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	No Instruction	Lower	Standard	Drop Off	No Instruction	(87) Fabien BEAULIEU	(88) Émile DELACROIX	(89) Hugo SAINT-LAURENT	(88) Mattieu DONNADIEU	(84) Hadrien DESCHAMPS	(89) Thibault DURAND	(88) Antoine BLANC	(85) Guillaume CHARDON	(81) Marian BETTENCOURT	(85) Rémi GAUTHIER	(91) Octave DESJARDINS	(82) Christophe GAGNON	(84) Claude LEMAITRE	(84) Arséne LA FROMBOISE	(83) Nicolas BELLAMY	(82) Maxence BEAUVILLIERS	(82) Victor TARDIEU	(81) Dorian ROUSSEL	(81) Esteban PALOMER	(81) Baptiste ROUX	(80) Félicien COUTURE	(83) Pierre PETIT	#17548C	#434343	Lutèce	Parc d'Arverne	EUFA
NCH	Nichirin	85	84.4	Wing Play	3-4-3	Play Out of Defence	More Direct	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	No Instruction	Hold Shape	Short	Much Higher	Much Higher	Offside Trap	Stay On Feet	(83) Eisuke SATO	(89) Kōzō FUJISE	(85) Genma NISHIGAWA	(84) Kazuyoshi HIRANUMA	(85) Makoto KISHIMA	(88) Rui ŌE	(84) Takeru MIKADO	(90) Luca HIGASHIYAMA	(88) Taiga BASHIRA	(90) Kenichi MITSUI	(90) Shō ITOSHI	(83) Akihisa KUBO	(84) Daigo TAKANASHI	(83) Akira NAGUMO	(83) Yoshikazu TAKANEN	(82) Kiyoshi TORIGOE	(80) Katsuki WATANABE	(79) Daichi KOMATSUBARA	(80) Ikki DAZAI	(81) Hajime MORIMOTO	(87) Ganzorig ERDENE	(81) Gaku IBUSUKI	#0b1134	#d3e4fc	Mizuhara	Tadamune Kuronami National Stadium	VAFC
ESU	E.S.U.	85	83.6	Counter	3-4-3	Play Out of Defence	Standard	No Instruction	Run At Defence	No Instruction	No Instruction	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	No Instruction	(87) Spencer JACKSON	(87) Elliot FARNSWORTH	(83) Mitchell SMITH	(82) Nathaniel VITALE	(88) Conrad BAUER	(87) Rocco DE LUCA	(86) Winston GALLAGHER	(82) Sergio CARUSO	(91) Trent HAWTHORNE	(84) Dante ROSSI	(88) Leon VOGEL	(78) Jackson MILLER	(82) Philip KLEIN	(83) Alton BEGAY	(82) Clayton CALDWELL	(81) Kendrick NAKAI	(83) Vito MORETTI	(80) Axel ANDERSON	(80) Felix HOFFMAN	(81) Peter SELHORST	(84) Horace PESHLAKAI	(81) Wyatt BRADFORD	#000000	#f5f5f5	Axiom	Trekker Stadium	CONSEAF
ALE	Alemannia	85	83.6	Balanced	4-2-3-1	Pass Into Space	More Direct	Shoot On Sight	Run At Defence	Be More Expressive	Play for Set Pieces	Never	No Instruction	Hold Shape	Short	Much Higher	Much Higher	Offside Trap	Stay On Feet	(88) Klaus BERNHARD	(83) Florian GRUBER	(90) Joris VAN ANTWERP	(85) Vojtěch NOVOTNÝ	(83) Uwe DAUBE	(85) Jakub DVOŘÁK	(85) Tomáš SVOBODA	(83) Thor ANDRESEN	(84) Gijs DREESENS	(84) Ime PAULSEN	(89) Florian VAN CAN	(87) Matthias NOACK	(82) Arthur KOHLBERG	(82) Sascha VAN MIDDLESWORTH	(80) Matěj KŘÍŽEK	(80) Nelis HARBERTS	(82) Ondřej ČERNÝ	(82) Anton FRIEDEBERG	(81) Mathijs HOLLEMAN	(81) Sven REIER	(80) Stijn BOELENS	(84) Petr PROCHÁZKA	#2f3237	#e8e8e8	Berelstein	Alemannisches Erdstadion	EUFA
REI	Reino	85	82.5	Tiki-Taka	4-3-3	Play Out of Defence	Much Shorter	Work Ball Into Box	Be More Disciplined	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Much Higher	Much Higher	Offside Trap	Stay On Feet	(90) Xavier CIENFUEGOS	(81) Francisco ALAMEDA	(86) Oriol MONTAGUT	(85) Ibai URRUTIA	(81) Rodrigo ALVARENGA	(87) Yeray BENGOETXEA	(86) Gonzalo VALBUENA	(85) Telmo CANDEIAS	(87) Pau PUIGCORBÉ	(83) Matías SALCEDO	(82) Antonio SANGÜESA	(79) Unai IZAGIRRE	(81) Alejandro VARGA	(80) Angel CASTEJÓN	(80) Joan XIRAU	(79) Izan SANTANDER	(80) Ismael MENÉNDEZ	(79) Martim DUARTE	(78) Mateo CALDERÓN	(83) Augustin ARAGONÉS	(82) Jesus HALCONERO	(81) Nélson FERREIRA	#630b56	#e8a100	Funda	Estadio de La Peineta	EUFA
HOL	Hollosend	84	81.3	Counter	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	No Instruction	Counter	Long	Higher	Standard	No Instruction	No Instruction	(84) Callum CALHOUN	(87) Tomás UZCÁTEGUI	(84) Leonardo URDANETA	(82) Wade BOONE	(80) Reuben MENDOZA	(83) Dale LANDRY	(82) Jean BEAUREGARD	(88) Valentín VIVAS	(86) Hayes HOLLIS	(86) Beau COVINGTON	(88) Simón ARISMENDI	(80) Rhett VANCE	(80) Emilio ESCALONA	(78) Alvaro VALDOVINOS	(76) Arturo MORGADO	(75) Cristian URDANETA	(81) Ambrose PICKETT	(80) Manuel BETANCOURT	(77) Cory GALLEGOS	(77) Alvaro SMALL	(75) Sander VANDEVELDE	(79) Fabián MACHADO	#b22335	#003087	Delvin	Delvin Royal Stadium	CONSEAF
VIC	Vicily	83	81.9	Counter	5-3-2	Play Out of Defence	Shorter	Work Ball Into Box	Be More Disciplined	Be More Disciplined	No Instruction	Constantly	Regroup	Hold Shape	Short	Standard	Standard	No Instruction	Stay On Feet	(89) Massimo VISCONTI	(85) Lorenzo SQUILLACI	(89) Filippo CASTIGLIONE	(85) Attila D'AMBROSI	(84) Andrea FERRARI	(83) Domenico VIVALDI	(83) Valentino ZACCAGNI	(81) Martino MARRESE	(80) Marcello LA BARCA	(83) Raffaele LUCCHESE	(82) Renato FIORAVANTI	(80) Palmiro CONTINI	(83) Danilo DELLA ROCCA	(81) Giacomo RUSSO	(80) Dario MORETTI	(79) Vittorio FERRARA	(79) Valente PANTUSO	(79) Antonio MARGHERITI	(79) Egeo SCALERA	(78) Corrado MONTANARI	(80) Goffredo RUGGERI	(80) Cosimo COLOMBO	#999208	#0d47a1	Trinacria	Stadio Nazionale di Vittorio IV	EUFA
KAR	Karjania	83	81.6	Gegenpress	4-3-3	Pass Into Space	Much More Direct	Work Ball Into Box	Run At Defence	Be More Disciplined	Play for Set Pieces	Never	Counter-Press	Counter	Long	Higher	Lower	Drop Off	Stay On Feet	(83) Aleksi JÄRVELÄINEN	(80) Kalle RÄIKKÖNEN	(85) Konsta YRJÖLÄ	(81) Ohttola SILLASTE	(83) Paavo SEPPÄLÄ	(88) Kasper KALJURAND	(83) Jaan SOOSAAR	(81) Iilmari TORJALASTEN	(81) Bertel VAINOJÄRVEN	(84) Tim PUKKI	(81) Voptá HENDÁ	(81) Teemo AASMAE	(82) Eski RUUDANEN	(80) Marcel METSA	(80) Heikki KOVALAINEN	(79) Eemeli UUSITALO	(81) Litto TULP	(81) Aarne KAINULAINEN	(80) Otto KASK	(82) Kuismaa KIVISILD	(80) Armes PURTUNEN	(80) Charle VALTTERINEN	#ffffff	#013080	Pietari	Punainen Arena	EUFA
ELV	Elvester	82	83.3	Counter	4-2-3-1	No Instruction	Shorter	Work Ball Into Box	Run At Defence	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Hold Shape	Short	Lower	Standard	Drop Off	Stay On Feet	(89) Jordan STANFORD	(83) Warren MARSHALL	(84) Wesley WETHERBY	(82) Emrys LOCKWOOD	(78) Callum DAVIES	(88) Thomas HARGREAVES	(84) Conor DALE	(89) Lewis BARDSLEY	(85) Sawyer STRICKLAND	(82) Spencer CHADWICK	(88) Harry CAINE	(83) Jake THORNTON	(82) Harry BROWN	(79) Cameron LYONS	(79) Nate ENTWISTLE	(79) Jabari HESS	(84) Kymani HARRINGTON	(83) Arthur WHITMORE	(83) Ryan COLE	(82) Kieran FROST	(82) Ezequiel MULHOLLAND	(84) Dillon HEATH	#591c79	#c0c0c0	Dunmaris	Empire Stadium	EUFA
AUR	Auritania	81	79.5	Tiki-Taka	4-3-3	Pass Into Space	Standard	Work Ball Into Box	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Counter-Press	Counter	Short	Higher	Lower	Step Up	Stay On Feet	(82) Rafael ROSARIO	(79) Jose Carlos PESCADOR	(83) Jenaro SALAMANCA	(80) Cayetano MONTOYA	(85) Efraín ARENAS	(84) Olegario PÉREZ	(80) Emiliano LUNA	(79) Ánselmo FERNANDEZ	(79) Juvenal VERA	(87) Rosendo ZAPATERO	(78) Cristian COSTANZA	(78) Ceferino ACOSTA	(78) Jacinto VALENCIA	(73) Inácio MADUREIRA			(78) Lisandro RIVAS	(77) Neizan ESCRIBANO	(76) Ovidio VICO	(79) Severino GUZMÁN	(78) Arcadio VILLA	(77) Atilano GARZA	#a53138	#1a3c5e	Auritania City	Estadio Izteca	CONSEAF
SKJ	Skjarnland	80	78.8	Wing Play	4-4-2	Pass Into Space	Standard	Work Ball Into Box	Run At Defence	No Instruction	Play for Set Pieces	Never	No Instruction	Counter	Long	Higher	Standard	No Instruction	No Instruction	(83) Magnus ANDERSSON	(85) Kenneth HAUGLAND	(83) Olof SJÖBERG	(82) Gustav GYLLENHAAL	(77) Haraldur ÓLAFSSON	(79) Erik SUNDQVIST	(85) Victor TVEDT	(78) Torbjørn KVAMME	(79) Kent FORSBERG	(78) Hjalmar LINDSTRÖM	(78) Niall KINSELLA	(75) Nils NYQUIST	(79) Olander STRANDBERG	(77) Emil HANSEN	(76) Ludvig JOHANSSON	(74) Bjarke LINDQVIST	(78) Sixten KARLSSON	(78) Joar BERGLUND	(78) Jesper OLSEN	(77) Albin LUNDQVIST	(77) Rasmus KARLSSEN	(77) Henrik KRISTIANSON	#003159	#ffd700	Hävnia	Hävnia Idrottspark	EUFA
